date,MOM
20140821,-0.39
20140822,0.09
20140825,0.33
20140826,-0.21
20140827,0.07
20140828,0.05
20140829,0.06
20140902,0.28
20140903,-0.12
20140904,-0.38
20140905,0.28
20140908,0.17
20140909,0.17
20140910,0.01
20140911,-0.11
20140912,-0.42
20140915,-0.13
20140916,0.67
20140917,0.05
20140918,0.06
20140919,-0.03
20140922,-0.07
20140923,0.27
20140924,0.15
20140925,-0.22
20140926,0.6
20140929,0.13
20140930,-0.17
20141001,-0.39
20141002,-0.24
20141003,0.46
20141006,-0.3
20141007,0.11
20141008,0.26
20141009,0.05
20141010,-0.39
20141013,-0.9
20141014,-0.84
20141015,-0.66
20141016,-0.33
20141017,1.07
20141020,0.03
20141021,0.32
20141022,0.77
20141023,0.11
20141024,1.1
20141027,0.34
20141028,-0.23
20141029,0.29
20141030,0.02
20141031,0.01
20141103,0.3
20141104,0.52
20141105,-0.17
20141106,0.22
20141107,-0.91
20141110,0.62
20141111,-0.38
20141112,-0.22
20141113,0.36
20141114,-0.8
20141117,0.58
20141118,0.61
20141119,-0.1
20141120,-0.72
20141121,-0.33
20141124,0.11
20141125,0.48
20141126,0.94
20141128,1.13
20141201,0.3
20141202,0.78
20141203,-0.21
20141204,0.91
20141205,0.4
20141208,1.1
20141209,-0.35
20141210,0.63
20141211,0.21
20141212,0.03
20141215,0.17
20141216,-0.55
20141217,-0.66
20141218,0.28
20141219,-0.96
20141222,0.2
20141223,-0.95
20141224,0.73
20141226,0.07
20141229,-0.18
20141230,-0.08
20141231,-0.48
20150102,-0.08
20150105,1.14
20150106,0.49
20150107,0.89
20150108,0.14
20150109,-0.01
20150112,0.88
20150113,0.33
20150114,0.13
20150115,0.74
20150116,-0.23
20150120,0.73
20150121,-0.95
20150122,0.4
20150123,0.18
20150126,-0.83
20150127,-0.54
20150128,1.21
20150129,0.58
20150130,-2.5
20150202,-0.93
20150203,-1.34
20150204,0.75
20150205,-0.74
